scientificName;Common name;verbatimScientificName;key;kingdom;phylum;class;order;family;genus;Status
Acridotheres cristatellus (Linnaeus, 1758);Crested Myna;Acridotheres cristatellus;2489010;Animalia;Chordata;Aves;Passeriformes;Sturnidae;Acridotheres;PRA in preparation
Asterias amurensis Lutken, 1871;Northern Pacific seastar;Asterias amurensis;5187508;Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Asterias;PRA in preparation
Broussonetia papyrifera Vent.;Paper mulberry;Broussonetia papyrifera;5361944;Plantae;Tracheophyta;Magnoliopsida;Rosales;Moraceae;Broussonetia;PRA in preparation
Callinectes sapidus Rathbun, 1896;Atlantic Blue Crab;Callinectes sapidus;2225646;Animalia;Arthropoda;Malacostraca;Decapoda;Portunidae;Callinectes;PRA in preparation
Cortaderia selloana Asch. & Graebn.;Pampas grass;Cortadera selloana;2704523;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Cortaderia;PRA in preparation
Faxonius immunis (Hagen, 1870);Calico crayfish;Faxonius immunis;8930656;Animalia;Arthropoda;Malacostraca;Decapoda;Cambaridae;Orconectes;PRA in preparation
Misgurnus anguillicaudatus (Cantor, 1842);Pond loach;Misgurnus anguillicaudatus;2367919;Animalia;Chordata;Actinopterygii;Cypriniformes;Cobitidae;Misgurnus;PRA in preparation
Platydemus manokwari Beauchamp, 1962;New Guinea flatworm;Platydemus manokwari;5892137;Animalia;Platyhelminthes;;Tricladida;Geoplanidae;Platydemus;PRA in preparation
Vespa mandarinia Smith, 1852;Asian Giant Hornet;Vespa mandarinia;5871429;Animalia;Arthropoda;Insecta;Hymenoptera;Vespidae;Vespa;PRA in preparation
Ameiurus melas (Rafinesque, 1820);black bullhead;Ameiurus melas;2340977;Animalia;Chordata;Actinopterygii;Siluriformes;Ictaluridae;Ameiurus;under revision by forum
Ameiurus nebulosus (Lesueur, 1819);brown bullhead;Ameiurus nebulosus;2340989;Animalia;Chordata;Actinopterygii;Siluriformes;Ictaluridae;Ameiurus;under revision by forum
Axis axis (Erxleben, 1777);axis deer, chital;Axis axis;2440934;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;under revision by forum
Boccardia proboscidea Hartman, 1940;polychaete worm;Boccardia proboscidea;2320810;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Boccardia;under revision by forum
Channa argus (Cantor, 1842);northern snakehead;Channa argus;4284921;Animalia;Chordata;Actinopterygii;Perciformes;Channidae;Channa;under revision by forum
Fallopia baldschuanica (Regel) Holub;Russian vine;Fallopia baldschuanica;5334351;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Fallopia;under revision by forum
Phytolacca americana L.;American pokeweed;Phytolacca americana;3084015;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Phytolaccaceae;Phytolacca;under revision by forum
Pterois miles (Bennett, 1828);common lionfish;Pterois miles;2334433;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Scorpaenidae;Pterois;under revision by forum
Pycnonotus cafer (Linnaeus, 1766);red-vented bulbul;Pycnonotus cafer;2486131;Animalia;Chordata;Aves;Passeriformes;Pycnonotidae;Pycnonotus;under revision by forum
Rugulopteryx okamurae (Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009;algae;Rugulopteryx okamurae;5824863;Chromista;Ochrophyta;Phaeophyceae;Dictyotales;Dictyotaceae;Rugulopteryx;under revision by forum
Schizoporella japonica Ortmann, 1890;orange ripple bryozoan;Schizoporella japonica;1010024;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Schizoporellidae;Schizoporella;under revision by forum
Wasmannia auropunctata (Roger, 1863);little fire ant;Wasmannia auropunctata;1315391;Animalia;Arthropoda;Insecta;Hymenoptera;Formicidae;Wasmannia;under revision by forum
Ambrosia confertiflora DC.;Weakleaf burr ragweed;Ambrosia confertiflora;3110654;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ambrosia;approved by forum
Callosciurus finlaysonii (Horsfield, 1823);Finlayson's squirrel;Callosciurus finlaysonii;2437399;Animalia;Chordata;Mammalia;Rodentia;Sciuridae;Callosciurus;approved by forum
Hemigrapsus sanguineus (De Haan, 1835);Asian shore crab;Hemigrapsus sanguineus;2225772;Animalia;Arthropoda;Malacostraca;Decapoda;Varunidae;Hemigrapsus;approved by forum
Rapana venosa (Valenciennes, 1846);veined rapa whelk;Rapana venosa;4363583;Animalia;Mollusca;Gastropoda;Neogastropoda;Muricidae;Rapana;approved by forum
Solenopsis geminata (Fabricius, 1804);black imported fire ant;Solenopsis geminata;5035187;Animalia;Arthropoda;Insecta;Hymenoptera;Formicidae;Solenopsis;approved by forum
Cydalima perspectalis (Walker, 1859);box tree moth;Cydalima perspectalis;4532122;Animalia;Arthropoda;Insecta;Lepidoptera;Crambidae;Cydalima;approved pending final edits
Faxonius rusticus (Girard, 1852);rusty crayfish;Faxonius rusticus;8979506;Animalia;Arthropoda;Malacostraca;Decapoda;Cambaridae;Orconectes;approved pending final edits
Fundulus heteroclitus (Linnaeus, 1766);(mummichog);Fundulus heteroclitus;5712056;Animalia;Chordata;Actinopterygii;Cyprinodontiformes;Fundulidae;Fundulus;approved pending final edits
Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal;Himalayan knotweed;Koenigia polystachya;8848208;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Koenigia;approved pending final edits
Lampropeltis getula (Linnaeus, 1766);common kingsnake;Lampropeltis getula;9799308;Animalia;Chordata;Reptilia;Squamata;Colubridae;Lampropeltis;approved pending final edits
Morone americana (Gmelin, 1789);white perch;Morone americana;2394604;Animalia;Chordata;Actinopterygii;Perciformes;Moronidae;Morone;approved pending final edits
Gambusia affinis (Baird & Girard, 1853);western mosquitofish;Gambusia affinis;2350580;Animalia;Chordata;Actinopterygii;Cyprinodontiformes;Poeciliidae;Gambusia;under revision
Gambusia holbrooki Girard, 1859;(eastern mosquitofish;Gambusia holbrooki;2350570;Animalia;Chordata;Actinopterygii;Cyprinodontiformes;Poeciliidae;Gambusia;under revision
Solenopsis richteri Forel, 1909;black imported fire ant;Solenopsis richteri;5035017;Animalia;Arthropoda;Insecta;Hymenoptera;Formicidae;Solenopsis;under revision
Lagocephalus sceleratus (Gmelin, 1789);Silver-cheeked toadfish;Lagocephalus sceleratus;2407758;Animalia;Chordata;Actinopterygii;Tetraodontiformes;Tetraodontidae;Lagocephalus;under revision by forum
Xenopus laevis (Daudin, 1802);African clawed frog;Xenopus laevis;5217334;Animalia;Chordata;Amphibia;Anura;Pipidae;Xenopus;under revision by forum
Perna viridis (Linnaeus, 1758);Asian Green mussel;Perna viridis;5729682;Animalia;Mollusca;Bivalvia;Mytilida;Mytilidae;Perna;under revision by forum
Castor canadensis Kuhl, 1820;Canadian beaver;Castor canadensis;2439838;Animalia;Chordata;Mammalia;Rodentia;Castoridae;Castor;under revision by forum
Celastrus orbiculatus C.P.Thunberg ex A.Murray;Oriental bittersweet;Celastrus orbiculatus;8104460;Plantae;Tracheophyta;Magnoliopsida;Celastrales;Celastraceae;Celastrus;under revision by forum
Micropterus dolomieu Lacépède, 1802;Smallmouth bass;Micropterus dolomieu;5211250;Animalia;Chordata;Actinopterygii;Perciformes;Centrarchidae;Micropterus;under revision by forum
Spartina pectinata Bosc ex Link;Prairie cordgrass;Spartina pectinata;5290030;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Sporobolus;under revision by forum
Hakea sericea Schrad.;Bushy needlewood;Hakea sericea;7287606;Plantae;Tracheophyta;Magnoliopsida;Proteales;Protaceae;Hakea;under revision
Limnoperna fortunei (Dunker, 1857);;Limnoperna fortunei;5855350;Animalia;Mollusca;Bivalvia;Mytilida;Mytilidae;Limnoperna;under revision
