taxonkey	canonicalName	class	kingdom	classKey	kingdomKey
3202936	Aphanomyces astaci	Peronosporea	Chromista	8179345	4
5250069	Thecaphora oxalidis	Ustilaginomycetes	Fungi	148	5
5250090	Urocystis trollii	Ustilaginomycetes	Fungi	148	5
2557730	Sporisorium destruens	Ustilaginomycetes	Fungi	148	5
9350124	Natrix helvetica	Reptilia	Animalia	358	1
8740315	Marionfyfea adventor		Animalia		1
2502938	Bipalium kewense		Animalia		1
7670473	Batrachochytrium salamandrivorans	Chytridiomycetes	Fungi	318	5
2627503	Batrachochytrium dendrobatidis	Chytridiomycetes	Fungi	318	5
7805595	Chara braunii	Charophyceae	Plantae	328	6
9518324	Procyon cancrivorus	Mammalia	Animalia	359	1
2433536	Nasua nasua	Mammalia	Animalia	359	1
2435451	Sarcophilus harrisii	Mammalia	Animalia	359	1
5216933	Rhinella marina	Amphibia	Animalia	131	1
4285694	Oreochromis niloticus	Actinopterygii	Animalia	204	1
5208832	Gobiosoma bosc	Actinopterygii	Animalia	204	1
5545159	Ludwigia peploides montevidensis	Magnoliopsida	Plantae	220	6
2367033	Ballerus ballerus	Actinopterygii	Animalia	204	1
5190777	Deroceras panormitanum	Gastropoda	Animalia	225	1
4598226	Tandonia sowerbyi	Gastropoda	Animalia	225	1
4564944	Xerosecta cespitum	Gastropoda	Animalia	225	1
2296805	Trochoidea elegans	Gastropoda	Animalia	225	1
4307880	Potamothrix heuscheri	Clitellata	Animalia	255	1
4556286	Meloidogyne artiellia	Secernentea	Animalia	250	1
6304873	Cicerbita macrophylla macrophylla	Magnoliopsida	Plantae	220	6
4227439	Cicerbita macrophylla uralensis	Magnoliopsida	Plantae	220	6
2202786	Synarmadillo	Malacostraca	Animalia	229	1
3142974	Doronicum excelsum	Magnoliopsida	Plantae	220	6
4549071	Varroa jacobsoni	Arachnida	Animalia	367	1
4553469	Leiobunum	Arachnida	Animalia	367	1
2162464	Uroctea durandi	Arachnida	Animalia	367	1
2140406	Triaeris stenaspis	Arachnida	Animalia	367	1
8871276	Neuroctenus lestoni	Insecta	Animalia	216	1
7481364	Fulvius subnitens	Insecta	Animalia	216	1
4487282	Fulvius anthocoroides	Insecta	Animalia	216	1
1650106	Anopheles pharoensis	Insecta	Animalia	216	1
1420197	Aleurodothrips fasciapennis	Insecta	Animalia	216	1
8351995	Frankliniella occidentalis	Insecta	Animalia	216	1
1420857	Parthenothrips dracaenae	Insecta	Animalia	216	1
1420846	Echinothrips americanus	Insecta	Animalia	216	1
1420769	Aurantothrips orchidaceus	Insecta	Animalia	216	1
1420791	Leucothrips nigripennis	Insecta	Animalia	216	1
1420795	Heliothrips haemorrhoidalis	Insecta	Animalia	216	1
1420828	Hercinothrips bicinctus	Insecta	Animalia	216	1
1420829	Hercinothrips femoralis	Insecta	Animalia	216	1
1420612	Scirtothrips longipennis	Insecta	Animalia	216	1
1420765	Chaetanaphothrips orchidii	Insecta	Animalia	216	1
1419894	Euborellia annulipes	Insecta	Animalia	216	1
8410115	Hedera hibernica	Magnoliopsida	Plantae	220	6
1322674	Pheidole anastasii	Insecta	Animalia	216	1
1321805	Pheidole bilimeki	Insecta	Animalia	216	1
1319260	Tetraponera allaborans	Insecta	Animalia	216	1
4453195	Carpophilus obsoletus	Insecta	Animalia	216	1
1043978	Stelidota geminata	Insecta	Animalia	216	1
4989894	Hippodamia convergens	Insecta	Animalia	216	1
4990175	Rhyzobius lophanthae	Insecta	Animalia	216	1
4400961	Badonnelia titei	Insecta	Animalia	216	1
4987920	Trichopsocus clarus	Insecta	Animalia	216	1
1031743	Dorypteryx pallida	Insecta	Animalia	216	1
1031564	Psoquilla marginepunctata	Insecta	Animalia	216	1
1031685	Lepinotus reticulatus	Insecta	Animalia	216	1
1031677	Trogium pulsatorium	Insecta	Animalia	216	1
1031680	Cerobasis annulata	Insecta	Animalia	216	1
1031512	Liposcelis brunnea	Insecta	Animalia	216	1
1031520	Liposcelis bostrychophila	Insecta	Animalia	216	1
1031524	Liposcelis paeta	Insecta	Animalia	216	1
1010644	Hanseniella caldaria	Symphyla	Animalia	7742773	1
7334576	Sempervivum barbulatum	Magnoliopsida	Plantae	220	6
4048052	Hippophae rhamnoides caucasica	Magnoliopsida	Plantae	220	6
3026167	Cotoneaster boisianus	Magnoliopsida	Plantae	220	6
9382645	Rosa virginiana	Magnoliopsida	Plantae	220	6
3012254	Sorbus intermedia	Magnoliopsida	Plantae	220	6
9823072	Oxalis stricta	Magnoliopsida	Plantae	220	6
5376961	Lepidium draba	Magnoliopsida	Plantae	220	6
8227753	Anchusa procera	Magnoliopsida	Plantae	220	6
4067281	Symphytum hidcotense	Magnoliopsida	Plantae	220	6
4926977	Catalpa erubescens	Magnoliopsida	Plantae	220	6
8287616	Linaria simplex	Magnoliopsida	Plantae	220	6
8233535	Linaria supina	Magnoliopsida	Plantae	220	6
3729273	Asarina procumbens	Magnoliopsida	Plantae	220	6
7096205	Clinopodium nepeta nepeta	Magnoliopsida	Plantae	220	6
3084748	Claytonia perfoliata	Magnoliopsida	Plantae	220	6
8012084	Dianthus subacaulis	Magnoliopsida	Plantae	220	6
7267631	Dianthus giganteus giganteus	Magnoliopsida	Plantae	220	6
7428369	Centranthus ruber	Magnoliopsida	Plantae	220	6
5295375	Smilax rotundifolia	Liliopsida	Plantae	196	6
4013762	Narcissus cyclazetta	Liliopsida	Plantae	196	6
5296015	Sisyrinchium angustifolium	Liliopsida	Plantae	196	6
5289490	Typha provincialis	Liliopsida	Plantae	196	6
2704966	Festuca valesiaca	Liliopsida	Plantae	196	6
5890148	Anguillicoloides crassus	Secernentea	Animalia	250	1
1728964	Diestrammena asynamora	Insecta	Animalia	216	1
4467502	Otiorhynchus indefinitus	Insecta	Animalia	216	1
